question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
32,single,労働衛生,演習;労働衛生,作業管理に関する次の記述のうち、誤っているものはどれか。,,,,,,作業方法の改善は、作業管理に含まれる。,作業時間や休憩の取り方の工夫は、作業管理に含まれる。,保護具の適切な使用は、作業管理に含まれる。,無理な作業姿勢を避けることは、作業管理上重要である。,作業管理では、作業者の行動や作業方法を一切扱わない。,5,正答は5。作業管理は作業方法・時間・手順・保護具使用等を適切に管理することであり、「作業者の行動や作業方法を一切扱わない」とする(5)の記述は誤り。,正答は5。作業管理は作業方法・時間・手順・保護具使用等を適切に管理することであり、「作業者の行動や作業方法を一切扱わない」とする(5)の記述は誤り。,（5）の記述は誤り 作業管理は作業方法・時間・手順・保護具使用等を適切に管理することであり、「作業者の行動や作業方法を一切扱わない」とする(5)の記述は誤り。,1:（1）「作業方法の改善は、作業管理に含まれる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「作業管理では、作業者の行動や作業方法を一切扱わない。」です。問題文の条件（作業管理に関する次の記述のうち、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）の内容は、正答（5）「作業管理では、作業者の行動や作業方法を一切扱わない。」が示す論点とずれています。 解説の要点：正答は5。作業管理は作業方法・時間・手順・保護具使用等を適切に管理することであり、「作業者の行動や作業方法を一切扱わない」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「作業管理では、作業者の行動や作業方法を一切扱わない。」が示す論点とずれています。 解説の要点：正答は5。作業管理は作業方法・時間・手順・保護具使用等を適切に管理することであり、「作業者の行動や作業方法を一切扱わない」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「作業管理では、作業者の行動や作業方法を一切扱わない。」が示す論点とずれています。 解説の要点：正答は5。作業管理は作業方法・時間・手順・保護具使用等を適切に管理することであり、「作業者の行動や作業方法を一切扱わない」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。,
33,single,労働衛生,演習;労働衛生,健康管理に関する次の記述のうち、正しいものはどれか。,,,,,,健康管理には、健康診断及びその結果に基づく事後措置が含まれる。,健康管理では、労働者の健康状態を把握してはならない。,健康管理は、作業環境管理と無関係であり、連携してはならない。,健康管理は、疾病が発生した後だけ行えばよい。,健康管理では、保健指導を実施してはならない。,1,正答は1。健康管理には健康診断とその結果に基づく事後措置（就業制限・保健指導等）が含まれており、(1)の記述は正しい。(2)健康状態の把握は健康管理の基本、(3)作業環境管理との連携は重要、(4)予防的観点からの実施も含まれる。,正答は1。健康管理には健康診断とその結果に基づく事後措置（就業制限・保健指導等）が含まれており、(1)の記述は正しい。(2)健康状態の把握は健康管理の基本、(3)作業環境管理との連携は重要、(4)予防的観点からの実施も含まれる。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 健康管理には健康診断とその結果に基づく事後措置（就業制限・保健指導等）が含まれており、(1)の記述は正しい。,2:（2）「健康管理では、労働者の健康状態を把握してはならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「健康管理には、健康診断及びその結果に基づく事後措置が含まれる。」です。問題文の条件（健康管理に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「健康管理は、作業環境管理と無関係であり、連携してはならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「健康管理には、健康診断及びその結果に基づく事後措置が含まれる。」です。問題文の条件（健康管理に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「健康管理は、疾病が発生した後だけ行えばよい。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「健康管理には、健康診断及びその結果に基づく事後措置が含まれる。」です。問題文の条件（健康管理に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:解説では「(2)健康状態の把握は健康管理の基本、(3)作業環境管理との連携は重要、(4)予防的観点からの実施も含まれる。」とある一方、（5）の記述はそれと矛盾します。 解説の要点：正答は1。健康管理には健康診断とその結果に基づく事後措置（就業制限・保健指導等）が含まれており、(1)の記述は正しい。(2)健康状態の把握は健康管理の基本、(3)作業環境管理との連携は重要、(4)予防的観点からの実施も含まれる。 正答（1）との違いを確認し直してください。,
34,single,労働衛生,演習;労働衛生,温熱条件に関する次の記述のうち、誤っているものはどれか。,,,,,,温熱感には、気温、湿度、気流、放射熱などが関係する。,WBGTは、暑熱環境による熱ストレス評価に用いられる。,暑熱順化が不十分な場合、熱中症リスクが高まる。,身体作業強度が大きいほど、暑熱環境下での負担は大きくなる。,湿度が高いほど汗が蒸発しやすくなり、体熱の放散は常に促進される。,5,正答は5。湿度が高いと汗が蒸発しにくくなり、気化熱による体熱放散が妨げられる。「汗が蒸発しやすくなる」とする(5)の記述は誤り。,正答は5。湿度が高いと汗が蒸発しにくくなり、気化熱による体熱放散が妨げられる。「汗が蒸発しやすくなる」とする(5)の記述は誤り。,（5）の記述は誤り 「汗が蒸発しやすくなる」とする(5)の記述は誤り。,1:（1）の内容は、正答（5）「湿度が高いほど汗が蒸発しやすくなり、体熱の放散は常に促進される。」が示す論点とずれています。 解説の要点：正答は5。湿度が高いと汗が蒸発しにくくなり、気化熱による体熱放散が妨げられる。「汗が蒸発しやすくなる」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「湿度が高いほど汗が蒸発しやすくなり、体熱の放散は常に促進される。」が示す論点とずれています。 解説の要点：正答は5。湿度が高いと汗が蒸発しにくくなり、気化熱による体熱放散が妨げられる。「汗が蒸発しやすくなる」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「湿度が高いほど汗が蒸発しやすくなり、体熱の放散は常に促進される。」が示す論点とずれています。 解説の要点：正答は5。湿度が高いと汗が蒸発しにくくなり、気化熱による体熱放散が妨げられる。「汗が蒸発しやすくなる」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「湿度が高いほど汗が蒸発しやすくなり、体熱の放散は常に促進される。」が示す論点とずれています。 解説の要点：正答は5。湿度が高いと汗が蒸発しにくくなり、気化熱による体熱放散が妨げられる。「汗が蒸発しやすくなる」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。,
35,single,労働衛生,演習;労働衛生,熱中症予防に関する次の記述のうち、正しいものはどれか。,,,,,,水分及び塩分の補給、休憩、作業時間の調整などが有効である。,暑熱環境では、休憩を取るとかえって熱中症リスクが上昇する。,熱中症の予防には、WBGTの把握は役立たない。,暑熱順化していない労働者は、暑熱作業に直ちに長時間従事させるのがよい。,熱中症は、屋内では発生しない。,1,正答は1。水分・塩分補給、休憩、作業時間の調整等は熱中症予防の基本対策であり、(1)の記述は正しい。(2)休憩はリスク低減に有効、(3)WBGTはリスク評価に有用、(4)暑熱順化は段階的に行うべき、(5)屋内でも高温多湿環境では発生する。,正答は1。水分・塩分補給、休憩、作業時間の調整等は熱中症予防の基本対策であり、(1)の記述は正しい。(2)休憩はリスク低減に有効、(3)WBGTはリスク評価に有用、(4)暑熱順化は段階的に行うべき、(5)屋内でも高温多湿環境では発生する。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 水分・塩分補給、休憩、作業時間の調整等は熱中症予防の基本対策であり、(1)の記述は正しい。,2:（2）「暑熱環境では、休憩を取るとかえって熱中症リスクが上昇する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「水分及び塩分の補給、休憩、作業時間の調整などが有効である。」です。問題文の条件（熱中症予防に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「熱中症の予防には、WBGTの把握は役立たない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「水分及び塩分の補給、休憩、作業時間の調整などが有効である。」です。問題文の条件（熱中症予防に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「暑熱順化していない労働者は、暑熱作業に直ちに長時間従事させるのがよい。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「水分及び塩分の補給、休憩、作業時間の調整などが有効である。」です。問題文の条件（熱中症予防に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「熱中症は、屋内では発生しない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「水分及び塩分の補給、休憩、作業時間の調整などが有効である。」です。問題文の条件（熱中症予防に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
36,single,労働衛生,演習;労働衛生,照明に関する次の記述のうち、適切でないものはどれか。,,,,,,精密な作業では、粗な作業より高い照度が必要となる。,グレアは、作業のしにくさや眼精疲労の原因となることがある。,照明は、作業面に必要な明るさを確保するよう配慮する。,高齢者では、若年者より高い照度が必要となる場合がある。,作業面の照度は、作業の種類にかかわらず常に0ルクスでよい。,5,正答は5。作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。,正答は5。作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。,（5）の記述は誤り 作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。,1:（1）の内容は、正答（5）「作業面の照度は、作業の種類にかかわらず常に0ルクスでよい。」が示す論点とずれています。 解説の要点：正答は5。作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「作業面の照度は、作業の種類にかかわらず常に0ルクスでよい。」が示す論点とずれています。 解説の要点：正答は5。作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「作業面の照度は、作業の種類にかかわらず常に0ルクスでよい。」が示す論点とずれています。 解説の要点：正答は5。作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「作業面の照度は、作業の種類にかかわらず常に0ルクスでよい。」が示す論点とずれています。 解説の要点：正答は5。作業面の照度は作業の種類に応じて適切な照度基準が設けられており、「常に0ルクス」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。,
37,single,労働衛生,演習;労働衛生,情報機器作業に関する次の記述のうち、適切なものはどれか。,,,,,,ディスプレイ、キーボード、椅子、机等は、作業者に合わせて調整することが望ましい。,長時間の情報機器作業では、休止時間を一切設けないことが望ましい。,ディスプレイは、眼から常に5cm以内に置く。,照明の映り込みやグレアは、作業効率や疲労に影響しない。,ノート型機器では、姿勢に配慮する必要はない。,1,正答は1。情報機器作業では、ディスプレイ・キーボード・椅子・机等を作業者の体格や特性に合わせて調整することが望ましく、(1)の記述は正しい。(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。,正答は1。情報機器作業では、ディスプレイ・キーボード・椅子・机等を作業者の体格や特性に合わせて調整することが望ましく、(1)の記述は正しい。(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 情報機器作業では、ディスプレイ・キーボード・椅子・机等を作業者の体格や特性に合わせて調整することが望ましく、(1)の記述は正しい。,2:（2）「長時間の情報機器作業では、休止時間を一切設けないことが望ましい。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「ディスプレイ、キーボード、椅子、机等は、作業者に合わせて調整することが望ましい。」です。問題文の条件（情報機器作業に関する次の記述のうち、適切なものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。;4:解説では「(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。」とある一方、（4）の記述はそれと矛盾します。 解説の要点：正答は1。情報機器作業では、ディスプレイ・キーボード・椅子・机等を作業者の体格や特性に合わせて調整することが望ましく、(1)の記述は正しい。(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。 正答（1）との違いを確認し直してください。;5:解説では「(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。」とある一方、（5）の記述はそれと矛盾します。 解説の要点：正答は1。情報機器作業では、ディスプレイ・キーボード・椅子・机等を作業者の体格や特性に合わせて調整することが望ましく、(1)の記述は正しい。(2)定期的な休止が推奨される、(3)適切な視距離（おおむね50cm以上）が必要。 正答（1）との違いを確認し直してください。,
38,single,労働衛生,演習;労働衛生,腰痛予防に関する次の記述のうち、誤っているものはどれか。,,,,,,重量物取扱い作業では、作業姿勢や作業方法に配慮する。,介護作業では、福祉用具の活用や複数人作業が有効な場合がある。,腰痛予防体操や教育は、腰痛予防対策の一つである。,作業台の高さを調整することは、腰部負担の軽減に役立つ。,腰痛予防では、作業姿勢を悪化させるほど効果が高い。,5,正答は5。腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。,正答は5。腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。,（5）の記述は誤り 腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。,1:（1）の内容は、正答（5）「腰痛予防では、作業姿勢を悪化させるほど効果が高い。」が示す論点とずれています。 解説の要点：正答は5。腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「腰痛予防では、作業姿勢を悪化させるほど効果が高い。」が示す論点とずれています。 解説の要点：正答は5。腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「腰痛予防では、作業姿勢を悪化させるほど効果が高い。」が示す論点とずれています。 解説の要点：正答は5。腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「腰痛予防では、作業姿勢を悪化させるほど効果が高い。」が示す論点とずれています。 解説の要点：正答は5。腰痛予防では作業姿勢の改善（良好な姿勢の確保）が重要であり、「悪化させるほど効果が高い」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。,
39,single,労働衛生,演習;労働衛生,受動喫煙防止に関する次の記述のうち、正しいものはどれか。,,,,,,職場では、受動喫煙を防止するための措置を講ずることが求められる。,受動喫煙は、労働衛生上の問題とはならない。,喫煙専用室を設ければ、煙の漏れ対策は不要である。,禁煙区域でも、作業効率のために喫煙を推奨する。,受動喫煙防止対策では、労働者への周知は常に禁止されている。,1,正答は1。職場では受動喫煙を防止するための措置（喫煙専用室の設置・禁煙区域の設定等）を講ずることが求められており、(1)の記述は正しい。(3)喫煙専用室は煙が漏れないよう気流等の要件を満たす必要がある。,正答は1。職場では受動喫煙を防止するための措置（喫煙専用室の設置・禁煙区域の設定等）を講ずることが求められており、(1)の記述は正しい。(3)喫煙専用室は煙が漏れないよう気流等の要件を満たす必要がある。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 職場では受動喫煙を防止するための措置（喫煙専用室の設置・禁煙区域の設定等）を講ずることが求められており、(1)の記述は正しい。,2:解説では「(3)喫煙専用室は煙が漏れないよう気流等の要件を満たす必要がある。」とある一方、（2）の記述はそれと矛盾します。 解説の要点：正答は1。職場では受動喫煙を防止するための措置（喫煙専用室の設置・禁煙区域の設定等）を講ずることが求められており、(1)の記述は正しい。(3)喫煙専用室は煙が漏れないよう気流等の要件を満たす必要がある。 正答（1）との違いを確認し直してください。;3:（3）「喫煙専用室を設ければ、煙の漏れ対策は不要である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「職場では、受動喫煙を防止するための措置を講ずることが求められる。」です。問題文の条件（受動喫煙防止に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）の内容は、正答（1）「職場では、受動喫煙を防止するための措置を講ずることが求められる。」が示す論点とずれています。 解説の要点：正答は1。職場では受動喫煙を防止するための措置（喫煙専用室の設置・禁煙区域の設定等）を講ずることが求められており、(1)の記述は正しい。(3)喫煙専用室は煙が漏れないよう気流等の要件を満たす必要がある。 正答（1）との違いを確認し直してください。;5:（5）の内容は、正答（1）「職場では、受動喫煙を防止するための措置を講ずることが求められる。」が示す論点とずれています。 解説の要点：正答は1。職場では受動喫煙を防止するための措置（喫煙専用室の設置・禁煙区域の設定等）を講ずることが求められており、(1)の記述は正しい。(3)喫煙専用室は煙が漏れないよう気流等の要件を満たす必要がある。 正答（1）との違いを確認し直してください。,
40,single,労働衛生,演習;労働衛生,食中毒に関する次の記述のうち、誤っているものはどれか。,,,,,,黄色ブドウ球菌の毒素は、熱に強いものがある。,ボツリヌス毒素は、神経毒である。,ノロウイルス対策では、手洗いや適切な消毒が重要である。,腸炎ビブリオは、魚介類と関連することがある。,ヒスタミンは、通常の加熱調理により常に完全に分解される。,5,正答は5。ヒスタミンは熱安定性が高く、通常の加熱調理では完全に分解・無毒化されない。「常に完全に分解される」とする(5)の記述は誤り。,正答は5。ヒスタミンは熱安定性が高く、通常の加熱調理では完全に分解・無毒化されない。「常に完全に分解される」とする(5)の記述は誤り。,（5）の記述は誤り 「常に完全に分解される」とする(5)の記述は誤り。,1:（1）の内容は、正答（5）「ヒスタミンは、通常の加熱調理により常に完全に分解される。」が示す論点とずれています。 解説の要点：正答は5。ヒスタミンは熱安定性が高く、通常の加熱調理では完全に分解・無毒化されない。「常に完全に分解される」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;2:（2）「ボツリヌス毒素は、神経毒である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「ヒスタミンは、通常の加熱調理により常に完全に分解される。」です。問題文の条件（食中毒に関する次の記述のうち、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）の内容は、正答（5）「ヒスタミンは、通常の加熱調理により常に完全に分解される。」が示す論点とずれています。 解説の要点：正答は5。ヒスタミンは熱安定性が高く、通常の加熱調理では完全に分解・無毒化されない。「常に完全に分解される」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「ヒスタミンは、通常の加熱調理により常に完全に分解される。」が示す論点とずれています。 解説の要点：正答は5。ヒスタミンは熱安定性が高く、通常の加熱調理では完全に分解・無毒化されない。「常に完全に分解される」とする(5)の記述は誤り。 正答（5）との違いを確認し直してください。,
41,single,労働衛生,演習;労働衛生,感染症予防に関する次の記述のうち、正しいものはどれか。,,,,,,手洗い、咳エチケット、換気などは感染症予防に有効である。,飛沫感染では、空気中の酸素濃度だけが問題となる。,感染症予防では、体調不良者への対応は不要である。,標準予防策は、医療・介護現場では役に立たない。,感染症は、職場では一切発生しない。,1,正答は1。手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。(2)飛沫感染は飛沫による病原体の伝播、(5)職場でも感染症は発生しうる。,正答は1。手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。(2)飛沫感染は飛沫による病原体の伝播、(5)職場でも感染症は発生しうる。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。,2:（2）「飛沫感染では、空気中の酸素濃度だけが問題となる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「手洗い、咳エチケット、換気などは感染症予防に有効である。」です。問題文の条件（感染症予防に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:解説では「手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。」とある一方、（3）の記述はそれと矛盾します。 解説の要点：正答は1。手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。(2)飛沫感染は飛沫による病原体の伝播、(5)職場でも感染症は発生しうる。 正答（1）との違いを確認し直してください。;4:解説では「手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。」とある一方、（4）の記述はそれと矛盾します。 解説の要点：正答は1。手洗い・咳エチケット・換気・適切な消毒等は感染症予防に有効な方法であり、(1)の記述は正しい。(2)飛沫感染は飛沫による病原体の伝播、(5)職場でも感染症は発生しうる。 正答（1）との違いを確認し直してください。;5:（5）「感染症は、職場では一切発生しない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「手洗い、咳エチケット、換気などは感染症予防に有効である。」です。問題文の条件（感染症予防に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
42,single,労働衛生,演習;労働衛生,救急処置に関する次の記述のうち、正しいものはどれか。,,,,,,反応がなく普段どおりの呼吸がない場合は、心停止を疑い、応援要請や心肺蘇生を開始する。,AEDは、医師以外は絶対に使用してはならない。,胸骨圧迫は、できるだけ浅く、1分間に10回程度行う。,出血している場合、直接圧迫止血は行ってはならない。,救急処置では、周囲の安全確認は不要である。,1,正答は1。反応がなく普段どおりの呼吸がない場合は心停止を疑い、応援要請・119番通報・AED手配・心肺蘇生を開始することが正しく、(1)の記述は適切。(2)AEDは一般市民も使用可能、(3)5cm沈む強さで1分間100〜120回が正しい、(4)直接圧迫止血は推奨される方法。,正答は1。反応がなく普段どおりの呼吸がない場合は心停止を疑い、応援要請・119番通報・AED手配・心肺蘇生を開始することが正しく、(1)の記述は適切。(2)AEDは一般市民も使用可能、(3)5cm沈む強さで1分間100〜120回が正しい、(4)直接圧迫止血は推奨される方法。,（1）の記述は適切 反応がなく普段どおりの呼吸がない場合は心停止を疑い、応援要請・119番通報・AED手配・心肺蘇生を開始することが正しく、(1)の記述は適切。,2:（2）「AEDは、医師以外は絶対に使用してはならない。」は、作業主任者の選任が必要な作業の組合せ（）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （2）AEDは一般市民も使用可能;3:（3）「胸骨圧迫は、できるだけ浅く、1分間に10回程度行う。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「反応がなく普段どおりの呼吸がない場合は、心停止を疑い、応援要請や心肺蘇生を開始する。」です。問題文の条件（救急処置に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「出血している場合、直接圧迫止血は行ってはならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「反応がなく普段どおりの呼吸がない場合は、心停止を疑い、応援要請や心肺蘇生を開始する。」です。問題文の条件（救急処置に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:解説では「反応がなく普段どおりの呼吸がない場合は心停止を疑い、応援要請・119番通報・AED手配・心肺蘇生を開始することが正しく、(1)の記述は適切。」とある一方、（5）の記述はそれと矛盾します。 解説の要点：正答は1。反応がなく普段どおりの呼吸がない場合は心停止を疑い、応援要請・119番通報・AED手配・心肺蘇生を開始することが正しく、(1)の記述は適切。(2)AEDは一般市民も使用可能、(3)5cm沈む強さで1分間100〜120回が正しい、(4)直接圧迫止血は推奨される方法。 正答（1）との違いを確認し直してください。,
43,single,労働衛生,演習;労働衛生,骨折時の処置に関する次の記述のうち、誤っているものはどれか。,,,,,,骨折が疑われる部位は、できるだけ動かさないようにする。,副子を用いる場合は、骨折部の上下の関節を含めて固定する。,開放性骨折では、感染防止にも配慮する。,脊髄損傷が疑われる場合は、無理に動かさない。,骨折が疑われる部位は、痛みを確認するため強く曲げ伸ばしする。,5,正答は5。骨折が疑われる部位を強く曲げ伸ばしすることは損傷を悪化させる危険があり、「強く曲げ伸ばしする」とする(5)の記述は誤り。骨折疑いの部位はできるだけ動かさないことが原則。,正答は5。骨折が疑われる部位を強く曲げ伸ばしすることは損傷を悪化させる危険があり、「強く曲げ伸ばしする」とする(5)の記述は誤り。骨折疑いの部位はできるだけ動かさないことが原則。,（5）の記述は誤り 骨折が疑われる部位を強く曲げ伸ばしすることは損傷を悪化させる危険があり、「強く曲げ伸ばしする」とする(5)の記述は誤り。,1:（1）の内容は、正答（5）「骨折が疑われる部位は、痛みを確認するため強く曲げ伸ばしする。」が示す論点とずれています。 解説の要点：正答は5。骨折が疑われる部位を強く曲げ伸ばしすることは損傷を悪化させる危険があり、「強く曲げ伸ばしする」とする(5)の記述は誤り。骨折疑いの部位はできるだけ動かさないことが原則。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「骨折が疑われる部位は、痛みを確認するため強く曲げ伸ばしする。」が示す論点とずれています。 解説の要点：正答は5。骨折が疑われる部位を強く曲げ伸ばしすることは損傷を悪化させる危険があり、「強く曲げ伸ばしする」とする(5)の記述は誤り。骨折疑いの部位はできるだけ動かさないことが原則。 正答（5）との違いを確認し直してください。;3:（3）「開放性骨折では、感染防止にも配慮する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「骨折が疑われる部位は、痛みを確認するため強く曲げ伸ばしする。」です。問題文の条件（骨折時の処置に関する次の記述のうち、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）の内容は、正答（5）「骨折が疑われる部位は、痛みを確認するため強く曲げ伸ばしする。」が示す論点とずれています。 解説の要点：正答は5。骨折が疑われる部位を強く曲げ伸ばしすることは損傷を悪化させる危険があり、「強く曲げ伸ばしする」とする(5)の記述は誤り。骨折疑いの部位はできるだけ動かさないことが原則。 正答（5）との違いを確認し直してください。,
